id,label
1,0.997251
10,0.065825
100,0.075512
1000,0.997684
10000,0.992040
10001,0.003364
10002,0.024180
10003,0.998803
10004,0.550850
10005,0.001937
10006,0.064654
10007,0.009522
10008,0.000160
10009,0.023337
1001,0.000264
10010,0.998204
10011,0.925754
10012,0.007873
10013,0.112585
10014,0.067271
10015,0.999855
10016,0.473869
10017,0.001361
10018,0.005339
10019,0.000442
1002,0.986895
10020,0.051156
10021,0.004371
10022,0.992451
10023,0.994695
10024,0.996916
10025,0.979420
10026,0.997286
10027,0.999978
10028,0.012926
10029,0.954212
1003,0.999993
10030,0.998969
10031,0.000685
10032,0.311163
10033,0.032913
10034,0.840641
10035,0.458304
10036,0.999471
10037,0.108648
10038,0.964987
10039,0.999989
1004,0.998911
10040,0.000012
10041,0.998807
10042,0.697055
10043,0.999547
10044,0.001530
10045,0.973018
10046,0.884986
10047,0.989627
10048,0.996753
10049,0.002624
1005,0.000385
10050,0.166967
10051,0.003964
10052,0.041862
10053,0.925815
10054,0.034642
10055,0.000992
10056,0.999829
10057,0.143395
10058,0.969655
10059,0.644954
1006,0.999993
10060,0.997140
10061,0.000842
10062,0.050907
10063,0.862961
10064,0.996503
10065,0.029884
10066,0.065107
10067,0.018811
10068,0.016517
10069,0.002888
1007,0.999423
10070,0.908460
10071,0.000916
10072,0.031214
10073,0.987620
10074,0.001190
10075,0.190865
10076,0.090618
10077,0.003420
10078,0.999931
10079,0.000114
1008,0.005360
10080,0.990309
10081,0.098699
10082,0.112447
10083,0.010528
10084,0.999969
10085,0.997959
10086,0.999560
10087,0.988989
10088,0.003304
10089,0.067563
1009,0.998011
10090,0.052642
10091,0.096307
10092,0.998998
10093,0.115588
10094,0.999703
10095,0.007564
10096,0.999117
10097,0.999989
10098,0.998757
10099,0.002335
101,0.082485
1010,0.997996
10100,0.990183
10101,0.995860
10102,0.070453
10103,0.001974
10104,0.999930
10105,0.946987
10106,0.037554
10107,0.180123
10108,0.995547
10109,0.000078
1011,0.015642
10110,0.997872
10111,0.256128
10112,0.004930
10113,0.999999
10114,0.136073
10115,0.012513
10116,0.999993
10117,0.216265
10118,0.205554
10119,0.750006
1012,0.859537
10120,0.000911
10121,0.028206
10122,0.056971
10123,0.169835
10124,0.999876
10125,0.110300
10126,0.002442
10127,0.939676
10128,0.058965
10129,0.470351
1013,0.001615
10130,0.074455
10131,0.711947
10132,0.026672
10133,0.003750
10134,0.578580
10135,0.999994
10136,0.989155
10137,0.021404
10138,0.993378
10139,0.997009
1014,0.999890
10140,0.185428
10141,0.999788
10142,0.954682
10143,0.832963
10144,0.970981
10145,0.006443
10146,0.996184
10147,0.966241
10148,0.908338
10149,0.014026
1015,0.003593
10150,0.361323
10151,0.007786
10152,0.011417
10153,0.627378
10154,0.345784
10155,0.944793
10156,0.224412
10157,0.213409
10158,0.034886
10159,0.988129
1016,0.645996
10160,0.041015
10161,0.001197
10162,0.999539
10163,0.999997
10164,0.864840
10165,0.970093
10166,0.804845
10167,0.999054
10168,0.925912
10169,0.945113
1017,0.002562
10170,0.002414
10171,0.005467
10172,0.989784
10173,0.002105
10174,0.050840
10175,0.034748
10176,0.999925
10177,0.994136
10178,0.527730
10179,0.986894
1018,0.983609
10180,0.278023
10181,0.998754
10182,0.406335
10183,0.325576
10184,0.004896
10185,0.993903
10186,0.994885
10187,0.998920
10188,0.077002
10189,0.998544
1019,0.999986
10190,0.999850
10191,0.011289
10192,0.853757
10193,0.003528
10194,0.004777
10195,0.998208
10196,0.996765
10197,0.998239
10198,0.071514
10199,0.000230
102,0.992320
1020,0.002649
10200,0.026835
10201,0.011728
10202,0.999737
10203,0.999747
10204,0.079211
10205,0.095365
10206,0.037292
10207,0.982684
10208,0.999416
10209,0.999912
